127.0.0.1 - - [06/Nov/2015:12:35:56 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:37:04 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:37:04 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16166
127.0.0.1 - - [06/Nov/2015:12:37:04 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:04 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:04 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:37:04 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:37:04 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:12 +0100] "GET /ATAF/content/views/referees.jsp HTTP/1.1" 200 1946
127.0.0.1 - - [06/Nov/2015:12:37:12 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:37:25 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:37:25 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:25 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:25 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:25 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:37:25 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:37:25 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:50 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:37:50 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16165
127.0.0.1 - - [06/Nov/2015:12:37:50 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:50 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:37:50 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:37:50 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:37:50 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:38:22 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:38:22 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16195
127.0.0.1 - - [06/Nov/2015:12:38:22 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:38:22 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:38:22 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:38:22 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:38:22 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:38:54 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:38:54 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16213
127.0.0.1 - - [06/Nov/2015:12:38:54 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:38:54 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:38:54 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:38:54 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:38:54 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:39:24 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
127.0.0.1 - - [06/Nov/2015:12:39:24 +0100] "GET /ATAF/content/css/styles.css HTTP/1.1" 200 16213
127.0.0.1 - - [06/Nov/2015:12:39:24 +0100] "GET /ATAF/content/img/panel-azulejos.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:39:24 +0100] "GET /ATAF/content/img/ceramica_alfar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:39:24 +0100] "GET /ATAF/content/views/welcome.jsp HTTP/1.1" 200 894
127.0.0.1 - - [06/Nov/2015:12:39:24 +0100] "GET /css/styles.css HTTP/1.1" 404 1032
127.0.0.1 - - [06/Nov/2015:12:39:24 +0100] "GET /ATAF/content/img/url.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Nov/2015:12:39:31 +0100] "GET /ATAF/ HTTP/1.1" 200 3680
